Interest Ratio,Iteration Number,Training Loss,Validation Loss
8,0,4.156,4.152
8,250,2.294,2.313
8,500,2.072,2.138
8,750,1.901,2.034
8,1000,1.77,1.939
8,1250,1.687,1.856
8,1500,1.612,1.796
8,1750,1.568,1.747
8,2000,1.536,1.714
8,2250,1.514,1.699
8,2500,1.501,1.693
8,2750,1.489,1.69
8,3000,1.473,1.689
8,3250,1.464,1.672
8,3500,1.448,1.653
8,3750,1.453,1.642
8,4000,1.445,1.641
8,4250,1.431,1.635
8,4500,1.423,1.636
8,4750,1.414,1.62
8,5000,1.407,1.624
32,0,4.226,4.22
32,250,2.255,2.276
32,500,2.02,2.099
32,750,1.844,1.982
32,1000,1.734,1.897
32,1250,1.661,1.8
32,1500,1.591,1.781
32,1750,1.554,1.734
32,2000,1.52,1.719
32,2250,1.513,1.692
32,2500,1.495,1.685
32,2750,1.49,1.671
32,3000,1.477,1.666
32,3250,1.465,1.652
32,3500,1.458,1.646
32,3750,1.465,1.636
32,4000,1.44,1.639
32,4250,1.434,1.618
32,4500,1.431,1.633
32,4750,1.417,1.632
32,5000,1.409,1.625
64,0,4.196,4.194
64,250,2.222,2.249
64,500,1.985,2.077
64,750,1.849,1.98
64,1000,1.744,1.913
64,1250,1.677,1.849
64,1500,1.617,1.775
64,1750,1.567,1.734
64,2000,1.552,1.731
64,2250,1.531,1.708
64,2500,1.513,1.693
64,2750,1.511,1.7
64,3000,1.502,1.682
64,3250,1.496,1.674
64,3500,1.477,1.674
64,3750,1.473,1.656
64,4000,1.462,1.657
64,4250,1.447,1.649
64,4500,1.45,1.649
64,4750,1.433,1.63
64,5000,1.429,1.629
