Sliding window size,Iteration Number,Training Loss,Validation Loss
3,0,4.298,4.29
3,250,1.994,2.083
3,500,1.782,1.955
3,750,1.674,1.843
3,1000,1.601,1.765
3,1250,1.53,1.718
3,1500,1.48,1.648
3,1750,1.425,1.631
3,2000,1.401,1.611
3,2250,1.395,1.597
3,2500,1.386,1.592
3,2750,1.377,1.58
3,3000,1.371,1.579
3,3250,1.357,1.583
3,3500,1.362,1.566
3,3750,1.355,1.571
3,4000,1.345,1.567
3,4250,1.339,1.563
3,4500,1.326,1.572
3,4750,1.328,1.567
3,5000,1.321,1.565
10,0,4.3,4.297
10,250,2.068,2.148
10,500,1.831,1.99
10,750,1.71,1.879
10,1000,1.625,1.792
10,1250,1.55,1.747
10,1500,1.494,1.677
10,1750,1.437,1.659
10,2000,1.411,1.634
10,2250,1.402,1.621
10,2500,1.39,1.615
10,2750,1.381,1.602
10,3000,1.373,1.6
10,3250,1.358,1.603
10,3500,1.358,1.584
10,3750,1.349,1.589
10,4000,1.34,1.589
10,4250,1.331,1.583
10,4500,1.318,1.591
10,4750,1.319,1.583
10,5000,1.307,1.584
100,0,4.296,4.295
100,250,2.196,2.246
100,500,1.891,2.024
100,750,1.74,1.898
100,1000,1.644,1.81
100,1250,1.57,1.75
100,1500,1.517,1.69
100,1750,1.46,1.673
100,2000,1.434,1.65
100,2250,1.424,1.631
100,2500,1.415,1.626
100,2750,1.402,1.616
100,3000,1.398,1.612
100,3250,1.379,1.611
100,3500,1.381,1.586
100,3750,1.374,1.594
100,4000,1.359,1.593
100,4250,1.351,1.581
100,4500,1.339,1.586
100,4750,1.339,1.582
100,5000,1.328,1.579
